Название тура,Регион,Сезон,Кол-во туристов,Длительность,Цена,Оценка
На Байкал на каникулы. Индивидуальный семейный тур,Байкал,Весна,11,8,426800.0,4
Сердце России: Гора Белуха и Алтай,Алтай,Осень,2,8,71584.0,5
В Карелию летом на 4 дня,Карелия,Лето,5,7,171030.0,4
От бурного Терека до седого Каспия,Кавказ,Осень,10,7,325680.0,4
"4 столицы: Нижний Новгород, Чебоксары, Йошкар-Ола, Казань",Татарстан,Весна,12,3,219360.0,3
Камчатка: Толбачинское кольцо. Поход к спящему вулкану,Камчатка,Лето,5,6,185660.0,5
Зимняя сказка. Приключения на Камчатке,Камчатка,Зима,6,7,235644.0,4
Природа и культура Вологодчины,Вологодская область,Весна,14,21,916160.0000000001,4
Цветущий Сочи: весенние выходные на Черном море,Краснодарский край,Весна,2,15,102800.0,4
Лед Байкала и величие Саян,Байкал,Зима,9,3,189630.0,5
Ледовый экспресс Байкала,Байкал,Зима,5,7,179150.0,4
Скандинавская сказка: тур по Карелии,Республика Карелия,Лето,9,11,432342.0,4
Камчатка: природа и активные виды отдыха,Камчатка,Весна,12,14,805440.0,2
Калининградская область: исторические маршруты,Калининградская область,Весна,8,5,195200.0,5
Ольхон — сердце Байкала,Байкал,Лето,6,13,371220.0,4
Я шагаю по Москве. Сокращённая программа,Москва,Осень,11,8,339152.0,3
Осенние выходные в Санкт-Петербурге,Санкт-Петербург,Осень,2,9,73568.0,4
Калмыкия на 100%,Калмыкия,Весна,12,9,456960.0,3
Золотая моя Казань. Летний тур на 3 дня,Татарстан,Лето,9,7,282717.0,4
Тайга и озера: путешествие по Тверской области,Тверская область,Осень,3,13,136392.00000000003,3
Тайны Урала: золотое кольцо Урала,Свердловская область,Лето,4,12,186832.0,1
Все краски Байкала. Поход на байдарках вокруг полуострова Святой Нос,Байкал,Лето,1,9,45910.0,4
Природа и культура Вологодчины,Вологодская область,Лето,3,21,214338.00000000006,2
Петрозаводск: весеннее пробуждение северной столицы,Карелия,Весна,7,19,484960.0,4
Нижегородские усадьбы,Нижегородская область,Весна,7,5,162400.0,2
Цветущий Сочи: весенние выходные на Черном море,Краснодарский край,Весна,4,8,128320.0,5
Карельские узоры,Карелия,Осень,13,19,926328.0,5
Тайга и народные традиции Сибири,Алтай,Осень,11,10,464640.0,5
Мурманск и Кольский полуостров: северное сияние,Мурманская область,Лето,7,8,263648.0,5
Дагестан стал ближе,Дагестан,Осень,2,21,150200.0,3
Байкальское путешествие. Пеший тур-комфорт,Байкал,Лето,6,20,538800.0,3
Сибирские каникулы,Сибирь,Зима,9,21,740915.9999999999,5
Сплав по реке Верхняя Шуя,Карелия,Лето,12,10,534960.0,2
Сказочный Удельный парк: круглый год,Санкт-Петербург,Зима,10,19,660880.0,4
Тюльпаны и горы: весенний Алтай,Алтай,Весна,5,20,362000.0,4
Ледовый экспресс Байкала,Байкал,Зима,9,18,687780.0,4
Калмыкия на 100%,Калмыкия,Весна,2,11,88640.0,4
Поход к подножию Белухи. Алтай,Алтай,Лето,1,16,65328.0,3
Живописный каскад Поволжья,Нижегородская область,Осень,5,10,186400.0,4
Тайны Забайкалья: природа и история,Забайкальский край,Лето,14,12,765632.0,2
Цветущий Сочи: весенние выходные на Черном море,Краснодарский край,Весна,1,8,32080.0,4
Тайны Забайкалья: природа и история,Забайкальский край,Лето,8,11,407712.0,3
Северная столица: Санкт-Петербург на все времена,Санкт-Петербург,Лето,13,10,544960.0,4
Кавказ! Жили-были,Кавказ,Зима,6,9,232692.0,4
Тайны Урала: золотое кольцо Урала,Свердловская область,Лето,14,18,910868.0,2
Золотая моя Казань. Летний тур на 3 дня,Татарстан,Лето,4,13,199068.0,2
Исторические городки Поволжья,Татарстан,Весна,7,11,282519.99999999994,3
Осенние выходные в Санкт-Петербурге,Санкт-Петербург,Осень,3,16,172848.0,5
Петрозаводск: весеннее пробуждение северной столицы,Карелия,Весна,9,21,679680.0,4
Тайга и народные традиции Сибири,Алтай,Осень,13,4,297648.0,4
Зима в Карелии 3 дня,Карелия,Зима,1,5,25990.0,3
Кавказ! Жили-были,Кавказ,Весна,6,13,303360.0,4
Сердце Хамар-Дабана. Пеший поход,Байкал,Лето,8,5,239600.0,5
Байкальское путешествие. Пеший тур-комфорт,Байкал,Лето,8,16,590720.0,4
Осенние выходные в Санкт-Петербурге,Санкт-Петербург,Осень,5,9,183920.0,2
Сплав по реке к Байкалу,Байкал,Лето,1,13,61870.0,2
Осенние выходные в Санкт-Петербурге,Санкт-Петербург,Осень,2,8,67616.0,1
Домашний очаг Ольхона. Индивидуальный семейный тур,Байкал,Весна,9,3,187200.0,3
"Костромская область: говорят, что здесь живут сказки",Костромская область,Осень,11,9,380072.0,4
Тайны Забайкалья: природа и история,Забайкальский край,Весна,2,9,80480.0,4
Байкальское путешествие. Пеший тур-комфорт,Байкал,Лето,10,3,219700.0,4
Большое путешествие по Смоленской земле,Смоленская область,Лето,4,5,98520.0,3
Джигитовка для начинающих. Зимний тур на Кавказе,Кавказ,Зима,2,10,83960.0,5
Невская улица: гастрономический тур по Санкт-Петербургу,Санкт-Петербург,Весна,8,13,379520.0,4
Кавказ! Жили-были,Кавказ,Весна,10,9,380800.0,2
Северный Кавказ: культурные традиции и активные приключения,Кавказ,Весна,5,17,315200.0,5
Живописный каскад Поволжья,Нижегородская область,Осень,2,3,36368.0,3
Ледниковый период на зимнем Байкале,Байкал,Зима,12,21,1049880.0,3
Тайны Урала: золотое кольцо Урала,Свердловская область,Лето,14,20,996520.0,5
Вулканы Камчатки: активный тур без рюкзаков,Камчатка,Лето,12,17,1042488.0,4
Сибирские каникулы,Сибирь,Зима,1,19,75436.0,5
Байкальское путешествие. Пеший тур-комфорт,Байкал,Лето,14,7,531020.0,3
Долина гейзеров и вулканов Камчатки,Камчатка,Осень,1,20,94320.0,5
Мурманск и Кольский полуостров: северное сияние,Мурманская область,Осень,4,18,272128.0,3
Северная столица: Санкт-Петербург на все времена,Санкт-Петербург,Осень,1,21,72496.0,3
Джигитовка для начинающих. Зимний тур на Кавказе,Кавказ,Зима,12,21,925896.0,5
Саяны: осенние краски,Республика Тыва,Осень,8,18,579968.0,4
Тюльпаны и горы: весенний Алтай,Алтай,Весна,4,10,164800.0,4
Настоящая осень в Нижнем Новгороде,Нижегородская область,Осень,7,9,241864.0,5
Настоящая осень в Нижнем Новгороде,Нижегородская область,Осень,13,16,697424.0,3
Тайны Забайкалья: природа и история,Забайкальский край,Весна,4,19,295360.0,1
Походы по осенним тропам Кавказа,Краснодарский край,Осень,8,7,239711.99999999997,4
Знакомство с Сахалином,Сахалин,Лето,8,9,386432.0,3
Активная зимняя программа. На снежной волне Архыза,Архыз,Зима,7,17,421288.0,2
Байкал и Саяны. С восхождением на пик Любви,Байкал,Лето,4,16,295360.0,4
Настоящая осень в Нижнем Новгороде,Нижегородская область,Осень,6,19,370992.0,4
Зимняя сказка. Приключения на Камчатке,Камчатка,Зима,1,6,35092.0,4
Вулканы Камчатки,Камчатка,Лето,1,12,64264.0,4
Знакомство с Сахалином,Сахалин,Лето,6,4,162144.0,3
Сплав по реке к Байкалу,Байкал,Лето,9,6,305460.0,3
Нижегородские усадьбы,Нижегородская область,Зима,11,17,616022.0,4
Золотое кольцо России: традиции и ремесла,Золотое кольцо,Весна,8,10,291200.0,1
Сибирские каникулы,Сибирь,Зима,3,19,226308.0,4
Тайны Забайкалья: природа и история,Забайкальский край,Весна,7,15,422800.0,5
Скандинавская сказка: тур по Карелии,Республика Карелия,Лето,5,20,395800.0,2
Весна в Карелии: природа и культура,Карелия,Весна,3,6,86160.0,4
Вулканы Камчатки,Камчатка,Лето,8,12,514112.0,4
Тайга и озера: путешествие по Тверской области,Тверская область,Лето,7,11,295302.00000000006,4
Настоящая осень в Нижнем Новгороде,Нижегородская область,Осень,3,11,120024.0,3
Живописный каскад Поволжья,Нижегородская область,Осень,9,12,384624.0,3
Активная зимняя программа на Эльбрусе,Эльбрус,Зима,9,17,598113.0,4
Осенние выходные в Санкт-Петербурге,Санкт-Петербург,Осень,8,13,389504.0,1
Тайга и народные традиции Сибири,Алтай,Осень,1,11,45464.0,2
Дагестан стал ближе,Дагестан,Зима,3,9,113025.0,5
Урал: познайте дикие леса и горы,Свердловская область,Осень,5,21,349460.0,2
Сердце Хамар-Дабана. Пеший поход,Байкал,Лето,5,3,109850.0,4
Настоящая осень в Нижнем Новгороде,Нижегородская область,Осень,11,20,710160.0,5
Зимние кочевники Байкала,Байкал,Зима,12,21,1049880.0,4
Дагестан стал ближе,Дагестан,Лето,4,6,119800.0,4
Вулканы Камчатки: активный тур без рюкзаков,Камчатка,Лето,5,9,253490.0,5
Золотая осень в Карелии,Карелия,Осень,3,5,78360.0,4
Северный Кавказ: культурные традиции и активные приключения,Кавказ,Весна,1,8,34960.0,5
Кавказские горы: экотуризм и медицинские маршруты,Краснодарский край,Весна,5,16,270800.0,2
Северное сияние осенью: Мурманск,Мурманская область,Осень,5,14,275680.0,3
Саяны: осенние краски,Республика Тыва,Осень,5,8,188880.0,4
Золотое кольцо России: традиции и ремесла,Золотое кольцо,Лето,10,7,304820.00000000006,4
Дагестан стал ближе,Дагестан,Зима,2,7,63050.0,4
Калмыкия на 100%,Калмыкия,Весна,1,13,50560.0,3
Большое путешествие по Смоленской земле,Смоленская область,Зима,8,20,512960.0,4
Осенние выходные в Санкт-Петербурге,Санкт-Петербург,Осень,7,16,403312.0,4
Домашний очаг Ольхона. Индивидуальный семейный тур,Байкал,Весна,11,11,545600.0,3
Осетия! Я буду там. Экскурсионный тур,Северная Осетия,Зима,4,11,180712.0,3
Золотое кольцо России: традиции и ремесла,Золотое кольцо,Осень,11,21,740168.0,4
Активный треккинг на Байкале,Байкал,Лето,7,16,516880.0,3
Зимние узоры Байкала,Байкал,Зима,6,15,392100.0,5
Горнолыжка для начинающих. Активный тур на Домбай,Домбай,Зима,11,21,848738.0,4
Калмыкия на 100%,Калмыкия,Весна,13,13,657280.0,3
Урал: познайте дикие леса и горы,Свердловская область,Осень,1,10,38520.0,4
Водный мир Приладожья,Карелия,Лето,7,5,191030.0,5
Засечная черта. Тихонова Пустынь – Калуга – Оптина пустынь – Козельск – Серпухов,Калужская область,Весна,10,5,226000.0,3
Восхождение на Белуху за 10 дней,Алтай,Лето,4,18,288976.0,4
Московский калейдоскоп. Сокращенная программа,Москва,Лето,9,9,316233.0,4
Скандинавская сказка: тур по Карелии,Республика Карелия,Осень,8,12,389504.0,5
Невская улица: гастрономический тур по Санкт-Петербургу,Санкт-Петербург,Весна,5,21,352400.0,4
Сердце Хамар-Дабана. Пеший поход,Байкал,Лето,1,19,85810.0,4
Сплав по реке Верхняя Шуя,Карелия,Лето,9,10,401220.0,4
Урал: познайте дикие леса и горы,Свердловская область,Осень,4,19,256752.0,4
Сердце России: Гора Белуха и Алтай,Алтай,Зима,11,8,391424.0,5
Активная зимняя программа. На снежной волне Архыза,Архыз,Зима,5,14,256640.0,4
Дальневосточные приключения: экскурсии по Сахалину,Сахалин,Лето,2,18,173216.0,4
Камчатка: Толбачинское кольцо. Поход к спящему вулкану,Камчатка,Лето,13,5,423930.0,2
Нижегородские усадьбы,Нижегородская область,Зима,10,17,560020.0,3
Зимняя сказка. Приключения на Камчатке,Камчатка,Зима,6,20,561840.0,4
Природа и культура Вологодчины,Вологодская область,Зима,8,15,404720.0,4
Пять колец Кавказа. Экскурсионный тур,Кавказ,Лето,8,5,218320.0,1
Жигулёвские выходные. Национальный туристский маршрут по Самарской области,Самара,Лето,13,15,700570.0,4
"Костромская область: говорят, что здесь живут сказки",Костромская область,Осень,4,10,149120.0,1
Осетия! Я буду там. Экскурсионный тур,Северная Осетия,Осень,7,4,160272.0,4
Активный треккинг на Байкале,Байкал,Лето,8,5,239600.0,5
Кочевники Байкала,Байкал,Лето,6,11,323340.0,4
Домашний очаг Ольхона. Индивидуальный семейный тур,Байкал,Весна,13,7,457600.0,4
Жигулёвские выходные. Национальный туристский маршрут по Самарской области,Самара,Лето,10,5,246300.0,2
Зимняя сказка. Приключения на Камчатке,Камчатка,Зима,10,10,518200.0,3
Исторические городки Поволжья,Татарстан,Лето,14,5,354130.0,4
Джигитовка для начинающих. Зимний тур на Кавказе,Кавказ,Зима,14,19,990668.0,4
От бурного Терека до седого Каспия,Кавказ,Весна,9,19,623520.0,4
Засечная черта. Тихонова Пустынь – Калуга – Оптина пустынь – Козельск – Серпухов,Калужская область,Осень,14,12,577472.0,2
Исторические городки Поволжья,Татарстан,Осень,5,10,192600.0,4
Мурманск и Кольский полуостров: северное сияние,Мурманская область,Весна,7,5,179200.0,4
Камчатка: Толбачинское кольцо. Поход к спящему вулкану,Камчатка,Лето,8,10,441760.0,3
Весенние круизы по Волге ,Приволжский федеральный округ,Весна,5,12,208400.0,5
На Байкал на каникулы. Индивидуальный семейный тур,Байкал,Весна,4,7,140800.0,3
Сплав по реке Верхняя Шуя,Карелия,Лето,3,9,123366.0,4
Сибирские просторы: экскурсия по Красноярскому краю,Красноярский край,Зима,3,4,71328.0,4
Тайны Урала: золотое кольцо Урала,Свердловская область,Весна,7,18,417760.0,5
Петрозаводск: весеннее пробуждение северной столицы,Карелия,Весна,9,4,202320.0,4
Скандинавская сказка: тур по Карелии,Республика Карелия,Осень,10,17,648080.0,4
Кострома и ее усадьбы: время путешествий,Костромская область,Весна,14,5,324800.0,2
Кострома и ее усадьбы: время путешествий,Костромская область,Лето,14,15,754460.0,5
Вулканы Камчатки,Камчатка,Лето,9,7,374886.0,3
"4 столицы: Нижний Новгород, Чебоксары, Йошкар-Ола, Казань",Татарстан,Весна,2,19,124880.0,3
Тайга и народные традиции Сибири,Алтай,Осень,12,3,236064.0,5
Засечная черта. Тихонова Пустынь – Калуга – Оптина пустынь – Козельск – Серпухов,Калужская область,Зима,11,8,337304.0,2
Джигитовка для начинающих. Зимний тур на Кавказе,Кавказ,Зима,1,7,32386.0,4
Ледовый экспресс Байкала,Байкал,Зима,12,13,695640.0,3
Вулканы Камчатки: активный тур без рюкзаков,Камчатка,Лето,12,13,825432.0,4
Калининградская область: исторические маршруты,Калининградская область,Лето,13,3,254488.0,5
Тюльпаны и горы: весенний Алтай,Алтай,Весна,14,21,1057280.0,5
Саяны: осенние краски,Республика Тыва,Осень,10,9,412480.0,4
Сказочный Удельный парк: круглый год,Санкт-Петербург,Лето,5,12,241520.0,5
"4 столицы: Нижний Новгород, Чебоксары, Йошкар-Ола, Казань",Татарстан,Лето,13,18,845806.0,5
Домашний очаг Ольхона. Индивидуальный семейный тур,Байкал,Весна,14,20,1148000.0,4
Дальневосточные приключения: экскурсии по Сахалину,Сахалин,Осень,3,15,208560.0,2
Сказочный Удельный парк: круглый год,Санкт-Петербург,Лето,10,8,355360.0,5
Водный мир Приладожья,Карелия,Лето,4,10,178320.0,4
Ольхон — сердце Байкала,Байкал,Лето,6,9,275460.0,4
"4 столицы: Нижний Новгород, Чебоксары, Йошкар-Ола, Казань",Татарстан,Зима,5,8,163160.0,5
Зимние кочевники Байкала,Байкал,Зима,3,11,151770.0,4
Походы по осенним тропам Кавказа,Краснодарский край,Осень,5,18,306680.0,4
Город-герой: исторические маршруты в Новороссийске ,Краснодарский край,Весна,10,15,514000.0,4
Сердце Хамар-Дабана. Пеший поход,Байкал,Лето,1,3,21970.0,4
Петрозаводск: весеннее пробуждение северной столицы,Карелия,Весна,4,11,177280.0,5
Волшебный лед Ольхона,Байкал,Зима,1,15,65350.0,2
Активная зимняя программа на Эльбрусе,Эльбрус,Зима,10,5,266050.0,3
Исторические городки Поволжья,Татарстан,Осень,5,10,192600.0,4
Тайга и озера: путешествие по Тверской области,Тверская область,Весна,10,12,416800.0,4
Походы по осенним тропам Кавказа,Краснодарский край,Осень,5,6,135559.99999999997,5
Тайны Урала: золотое кольцо Урала,Свердловская область,Осень,2,16,111264.0,5
Активный треккинг на Байкале,Байкал,Лето,1,3,21970.0,4
Зеленая весна в Краснодаре,Краснодарский край,Весна,9,11,363239.99999999994,4
Восхождение на Белуху за 10 дней,Алтай,Лето,8,11,384304.0,5
Пять колец Кавказа. Экскурсионный тур,Кавказ,Осень,14,20,1042720.0,4
Мурманск и Кольский полуостров: северное сияние,Мурманская область,Лето,5,17,343930.0,2
Активная зимняя программа на Эльбрусе,Эльбрус,Зима,6,14,338964.0,5
Домашний очаг Ольхона. Индивидуальный семейный тур,Байкал,Весна,5,12,266000.0,2
Вулканы Камчатки: активный тур без рюкзаков,Камчатка,Лето,10,20,1004400.0,5
Сплав по реке к Байкалу,Байкал,Лето,4,17,311320.0,5
Невская улица: гастрономический тур по Санкт-Петербургу,Санкт-Петербург,Весна,4,12,178240.0,4
Исторические городки Поволжья,Татарстан,Лето,10,18,650620.0,3
Волшебный лед Ольхона,Байкал,Зима,5,3,105350.0,3
Город-герой: исторические маршруты в Новороссийске ,Краснодарский край,Весна,6,9,209040.0,5
Водный мир Приладожья,Карелия,Лето,6,14,350472.0,4
Калининградская осень: природа и история,Калининградская область,Осень,13,10,516880.0,4
Золотое кольцо России: традиции и ремесла,Золотое кольцо,Весна,13,7,370240.0,4
Северное сияние осенью: Мурманск,Мурманская область,Осень,14,13,726768.0,3
Осетия! Я буду там. Экскурсионный тур,Северная Осетия,Лето,7,6,215236.0,3
От бурного Терека до седого Каспия,Кавказ,Весна,7,20,506800.0,4
Кавказские горы: экотуризм и медицинские маршруты,Краснодарский край,Зима,5,18,304610.0,1
Ледовый экспресс Байкала,Байкал,Зима,12,14,739920.0,4
Вулканы Камчатки,Камчатка,Лето,4,7,166616.0,2
Кавказ! Жили-были,Кавказ,Весна,12,8,419520.0,2
Камчатка: Толбачинское кольцо. Поход к спящему вулкану,Камчатка,Лето,13,15,1011790.0,4
Активная зимняя программа. На снежной волне Архыза,Архыз,Зима,13,11,552136.0,2
Активная зимняя программа. На снежной волне Архыза,Архыз,Зима,13,7,398632.0,3
Кемпинг на озере Лама. Знакомство с плато Путорана,Плато Путорана,Лето,4,4,108096.0,4
Исторические городки Поволжья,Татарстан,Зима,6,4,127896.0,2
Тайны Урала: золотое кольцо Урала,Свердловская область,Зима,2,3,36974.0,5
Осетия! Я буду там. Экскурсионный тур,Северная Осетия,Лето,1,11,48038.0,2
Нижегородские усадьбы,Нижегородская область,Осень,3,16,160944.0,4
Лед Байкала и величие Саян,Байкал,Зима,12,10,562800.0,3
Тайга и озера: путешествие по Тверской области,Тверская область,Лето,5,10,196300.0,2
Сказочная осень в Татарстане,Татарстан,Осень,11,14,549207.9999999999,4
Сказочная осень в Татарстане,Татарстан,Осень,1,13,47075.99999999999,3
Кемпинг на озере Лама. Знакомство с плато Путорана,Плато Путорана,Лето,13,11,738608.0,3
Весна в Карелии: природа и культура,Карелия,Весна,9,15,511200.0,3
Тайга и озера: путешествие по Тверской области,Тверская область,Осень,4,6,105472.0,3
Загадочная Москва: исторический тур,Москва,Весна,1,10,35200.0,4
Тайга и народные традиции Сибири,Алтай,Осень,10,11,454640.0,2
Другая Осетия. Джип-тур в Северную Осетию,Северная Осетия,Зима,5,12,241880.0,4
Волшебный лед Ольхона,Байкал,Зима,6,17,436380.0,4
Сердце России: Гора Белуха и Алтай,Алтай,Зима,3,5,77970.0,4
"Костромская область: говорят, что здесь живут сказки",Костромская область,Зима,10,11,397660.0,4
Активный треккинг на Байкале,Байкал,Лето,9,12,520920.0,4
Восхождение на Белуху за 10 дней,Алтай,Лето,3,16,195984.0,4
Московский калейдоскоп. Сокращенная программа,Москва,Лето,9,13,416781.0,5
Пробуждение природы в Санкт-Петербурге,Санкт-Петербург,Весна,9,17,530640.0,5
Вкусы Енисейской Сибири. Гастрономический тур,Сибирь,Лето,13,10,614120.0,5
Походы по осенним тропам Кавказа,Краснодарский край,Осень,12,10,462240.0,3
Калининградская область: исторические маршруты,Калининградская область,Зима,1,18,63136.0,4
Байкальское путешествие. Пеший тур-комфорт,Байкал,Лето,5,8,209600.0,3
Невская улица: гастрономический тур по Санкт-Петербургу,Санкт-Петербург,Весна,8,15,425600.0,3
Горнолыжка для начинающих. Активный тур на Домбай,Домбай,Зима,5,9,193910.0,5
Кавказ! Жили-были,Кавказ,Весна,8,21,604160.0,5
Тайны Забайкалья: природа и история,Забайкальский край,Весна,4,11,187839.99999999997,5
Сплав по реке к Байкалу,Байкал,Лето,12,20,1077600.0,5
Зеленая весна в Краснодаре,Краснодарский край,Весна,7,4,147280.0,5
Пять колец Кавказа. Экскурсионный тур,Кавказ,Весна,3,5,76800.0,5
Зеленая весна в Краснодаре,Краснодарский край,Весна,12,8,384960.0,5
Невская улица: гастрономический тур по Санкт-Петербургу,Санкт-Петербург,Зима,9,3,169704.0,4
Засечная черта. Тихонова Пустынь – Калуга – Оптина пустынь – Козельск – Серпухов,Калужская область,Зима,14,18,790916.0,4
Настоящая осень в Нижнем Новгороде,Нижегородская область,Осень,14,4,292768.0,5
Осенние выходные в Санкт-Петербурге,Санкт-Петербург,Осень,12,18,762816.0,5
Золотая моя Казань. Летний тур на 3 дня,Татарстан,Лето,3,17,186009.0,3
Жигулёвские выходные. Национальный туристский маршрут по Самарской области,Самара,Лето,7,14,356748.00000000006,2
Сказочный Удельный парк: круглый год,Санкт-Петербург,Весна,9,12,401040.0,5
Байкальское путешествие. Пеший тур-комфорт,Байкал,Лето,7,10,349300.0,2
От бурного Терека до седого Каспия,Кавказ,Весна,5,15,284000.0,4
Кавказские горы: экотуризм и медицинские маршруты,Краснодарский край,Зима,12,21,832908.0,2
Петрозаводск: весеннее пробуждение северной столицы,Карелия,Весна,11,4,247280.0,3
Активная зимняя программа на Эльбрусе,Эльбрус,Зима,9,13,478557.0,3
Вулканы Камчатки,Камчатка,Лето,12,6,445584.0,5
Засечная черта. Тихонова Пустынь – Калуга – Оптина пустынь – Козельск – Серпухов,Калужская область,Весна,8,8,241280.0,4
Походы по осенним тропам Кавказа,Краснодарский край,Осень,7,3,129892.0,2
Ледовый экспресс Байкала,Байкал,Зима,14,13,811580.0,2
Северная столица: Санкт-Петербург на все времена,Санкт-Петербург,Весна,13,18,803920.0,5
Загадочная Москва: исторический тур,Москва,Осень,2,3,35624.0,2
Весенние круизы по Волге ,Приволжский федеральный округ,Весна,5,4,102800.0,3
Байкал и Саяны. С восхождением на пик Любви,Байкал,Лето,8,20,718400.0,4
Золотая осень в Карелии,Карелия,Осень,14,9,546224.0,3
Лед Байкала и величие Саян,Байкал,Зима,11,11,556490.0,1
Урал: познайте дикие леса и горы,Свердловская область,Осень,2,13,94151.99999999999,2
Весенние круизы по Волге ,Приволжский федеральный округ,Весна,6,13,265920.0,4
Золотая моя Казань. Летний тур на 3 дня,Татарстан,Лето,8,20,569440.0,4
Калуга и другие города Центральной России,Калужская область,Осень,14,16,723296.0,2
Северный Кавказ: культурные традиции и активные приключения,Кавказ,Лето,14,21,1156652.0,3
Сибирские каникулы,Сибирь,Зима,4,19,301744.0,5
Байкал: активный тур на круглый год,Байкал,Лето,2,7,75860.0,4
"4 столицы: Нижний Новгород, Чебоксары, Йошкар-Ола, Казань",Татарстан,Лето,13,4,289068.0,5
Тайга и народные традиции Сибири,Алтай,Осень,1,8,35792.0,4
Тайны Забайкалья: природа и история,Забайкальский край,Осень,14,3,285824.0,3
Активная зимняя программа на Эльбрусе,Эльбрус,Зима,14,21,1116374.0000000002,5
Вулканы Камчатки: активный тур без рюкзаков,Камчатка,Лето,12,13,825432.0,4
Домашний очаг Ольхона. Индивидуальный семейный тур,Байкал,Весна,8,21,684800.0,5
Камчатка: Толбачинское кольцо. Поход к спящему вулкану,Камчатка,Лето,11,11,657162.0,3
Активный треккинг на Байкале,Байкал,Лето,4,7,151720.0,5
Саяны: осенние краски,Республика Тыва,Осень,14,6,431648.0,4
Московский калейдоскоп. Сокращенная программа,Москва,Зима,10,15,487450.0,5
Московский калейдоскоп. Сокращенная программа,Москва,Лето,8,7,236408.0,3
Тайны Забайкалья: природа и история,Забайкальский край,Весна,4,13,214720.0,4
Долина гейзеров и вулканов Камчатки,Камчатка,Осень,2,7,79024.0,4
Центр России: экскурсии по Туле,Тульская область,Весна,13,12,541840.0,3
Золотая осень в Карелии,Карелия,Осень,6,10,253440.0,4
Активная зимняя программа. На снежной волне Архыза,Архыз,Зима,14,8,470624.0,4
Северный Кавказ: культурные традиции и активные приключения,Кавказ,Лето,9,3,183366.0,2
Путешествие в древность. Тур в Ульяновскую область,Ульяновская область,Осень,8,18,472832.0,1
Другая Осетия. Джип-тур в Северную Осетию,Северная Осетия,Осень,8,10,337920.0,4
Лед Байкала и величие Саян,Байкал,Зима,14,13,811580.0,4
Зимние кочевники Байкала,Байкал,Зима,8,21,699920.0,3
Походы по осенним тропам Кавказа,Краснодарский край,Осень,13,4,278304.0,2
Осенние выходные в Санкт-Петербурге,Санкт-Петербург,Осень,12,19,798528.0,3
Дагестан стал ближе,Дагестан,Лето,5,20,382500.0,2
Зимняя сказка. Приключения на Камчатке,Камчатка,Зима,3,13,193098.0,2
Поход к подножию Белухи. Алтай,Алтай,Лето,8,18,577952.0,5
Походы по осенним тропам Кавказа,Краснодарский край,Осень,8,12,353791.99999999994,4
Тайга и озера: путешествие по Тверской области,Тверская область,Зима,13,17,728026.0,4
Сибирские каникулы,Сибирь,Зима,7,7,238756.0,5
Весна в Карелии: природа и культура,Карелия,Весна,11,6,315920.0,5
Камчатка: природа и активные виды отдыха,Камчатка,Лето,1,6,37132.0,4
Исторические городки Поволжья,Татарстан,Зима,5,17,290465.0,2
Жигулёвские выходные. Национальный туристский маршрут по Самарской области,Самара,Лето,14,11,590604.0000000001,5
Джигитовка для начинающих. Зимний тур на Кавказе,Кавказ,Зима,1,14,54772.0,3
Сплав по реке Верхняя Шуя,Карелия,Лето,9,3,183366.0,4
Жигулёвские выходные. Национальный туристский маршрут по Самарской области,Самара,Лето,1,8,33408.0,5
Калуга и другие города Центральной России,Калужская область,Зима,3,20,184980.0,4
Походы по осенним тропам Кавказа,Краснодарский край,Осень,11,3,204116.0,3
Скандинавская сказка: тур по Карелии,Республика Карелия,Осень,3,8,107376.0,2
Северная столица: Санкт-Петербург на все времена,Санкт-Петербург,Весна,10,15,532000.0,3
Загадочная Москва: исторический тур,Москва,Зима,14,7,393134.0,2
Большое путешествие по Смоленской земле,Смоленская область,Весна,9,3,161280.0,4
Ольхон — сердце Байкала,Байкал,Лето,1,19,85810.0,4
Волшебный лед Ольхона,Байкал,Зима,12,18,917040.0,4
Весна в Карелии: природа и культура,Карелия,Весна,10,19,692800.0,1
Живописный каскад Поволжья,Нижегородская область,Осень,3,10,111840.0,4
Я шагаю по Москве. Сокращённая программа,Москва,Осень,6,6,153744.0,5
Северный Кавказ: культурные традиции и активные приключения,Кавказ,Зима,4,7,129544.0,5
Золотое кольцо России: традиции и ремесла,Золотое кольцо,Лето,4,21,285784.00000000006,1
Жигулёвские выходные. Национальный туристский маршрут по Самарской области,Самара,Лето,4,4,86816.0,4
Поход к подножию Белухи. Алтай,Алтай,Лето,8,21,660944.0,5
Кочевники Байкала,Байкал,Лето,7,10,349300.0,5
Большое путешествие по Смоленской земле,Смоленская область,Осень,9,18,531936.0,4
Живописный каскад Поволжья,Нижегородская область,Осень,2,8,63648.0,4
Активная зимняя программа на Эльбрусе,Эльбрус,Зима,14,14,790916.0,2
Засечная черта. Тихонова Пустынь – Калуга – Оптина пустынь – Козельск – Серпухов,Калужская область,Лето,3,13,138927.0,3
Волшебный лед Ольхона,Байкал,Зима,7,8,276640.0,4
Золотая моя Казань. Летний тур на 3 дня,Татарстан,Лето,8,20,569440.0,2
Зеленая весна в Краснодаре,Краснодарский край,Весна,7,19,437080.0,5
Ледовый экспресс Байкала,Байкал,Зима,3,11,151770.0,5
Нижегородские усадьбы,Нижегородская область,Лето,14,14,713496.0000000001,4
